S_ID,ID,YEAR,Station Name,TP,S,T,R,SID
S17181_2015,17181,2015,WEST BRANCH BANTAM RIVER,0.032,0.448613377,0.261011419,3.67816092,WEST BRANCH BANTAM RIVER_17181
S17201_2013,17201,2013,Willys Meadow Brook,0.036,0.495,0.035,0.660377358,Willys Meadow Brook_17201
S17271_2012,17271,2012,Cherry Brook,0.0125,0.155115512,0.211221122,5.765765766,Cherry Brook_17271
S17295_2014,17295,2014,Bigelow Brook,0.009,0.705024311,0.016207455,0.224719101,Bigelow Brook_17295
S17342_2015,17342,2015,Ball Pond Brook,0.031666667,0.173333333,0.23,5.702479339,Ball Pond Brook_17342
S17398_2012,17398,2012,Negro Hill Brook,0.017,0.02533532,0.876304024,9.719008264,Negro Hill Brook_17398
S17530_2011,17530,2011,Haleys Brook,0.0305,0.285240464,0.535655058,6.525252525,Haleys Brook_17530
S17565_2014,17565,2014,Long Branch Brook,0.063,0.323101777,0.024232633,0.697674419,Long Branch Brook_17565
S17568_2014,17568,2014,Sherman Brook,0.023,0.132398754,0.03271028,1.981132075,Sherman Brook_17568
S17612_2011,17612,2011,Jacks Brook,0.011,0.450657895,0.327302632,4.207188161,Jacks Brook_17612
S17816_2014,17816,2014,INDIAN HUT BROOK,0.075,0.054698457,0.081346424,5.979381443,INDIAN HUT BROOK_17816
S17852_2014,17852,2014,Shady Oak Schoolhouse Brook,0.02725,0.6544,0.0048,0.072815534,Shady Oak Schoolhouse Brook_17852
S18158_2012,18158,2012,Lydall Brook,0.013,0.03626943,0.647668394,9.46969697,Lydall Brook_18158
S18159_2012,18159,2012,West Branch Farmington River,0.009,0.044094488,0.061417323,5.820895522,West Branch Farmington River_18159
S18463_2013,18463,2013,Fivemile River,0.081,0.018333333,0.488333333,9.638157895,Fivemile River_18463
S18874_2015,18874,2015,Weekeepeemee River,0.016333333,0.275577558,0.132013201,3.238866397,Weekeepeemee River_18874
S18875_2015,18875,2015,Walker Brook,0.038,0.006430868,0.192926045,9.677419355,Walker Brook_18875
S18876_2015,18876,2015,Curtiss Brook,0.023333333,0.375,0.196666667,3.440233236,Curtiss Brook_18876
S18877_2015,18877,2015,Leadmine Brook,0.021,0.511666667,0.051666667,0.917159763,Leadmine Brook_18877
S18881_2015,18881,2015,Bantam River,0.27,0.073770492,0.603278689,8.910411622,Bantam River_18881
S18882_2015,18882,2015,Cemetery Pond Brook,0.118,0.861157025,0.044628099,0.49270073,Cemetery Pond Brook_18882
S18883_2015,18883,2015,East Branch Naugatuck River,0.018,0.761589404,0.006622517,0.086206897,East Branch Naugatuck River_18883
S18884_2015,18884,2015,Shepaug River,0.0405,0.088333333,0.086666667,4.952380952,Shepaug River_18884
